Indicador;Classificação;Faixa de Referência;Interpretação;Classificação
EV/EBITDA;Péssimo;Acima de 12x;Empresa extremamente cara, EV acima de 12x o EBITDA sugere expectativas irreais de crescimento. Comum em tecnologia em alta. Investidores devem comparar com peers e avaliar crescimento projetado para evitar sobrepreço.;Péssimo
;Ruim;10 a 12x;Empresa cara, múltiplo elevado, comum em setores de crescimento moderado (ex.: saúde). Investidores devem analisar estabilidade do EBITDA e potencial de crescimento para confirmar preço justo.;Ruim
;Moderado;6 a 10x;Avaliação equilibrada, aceitável em setores com crescimento moderado (ex.: varejo, indústria). Investidores devem verificar tendência do EBITDA e potencial de expansão para confirmar atratividade.;Moderado
;Bom;3 a 6x;Subvalorizada, EV abaixo de 6x o EBITDA indica empresa barata em relação à geração de caixa. Oportunidade em setores cíclicos ou em recuperação (ex.: Vale). Investidores devem verificar riscos operacionais.;Bom
;Ótimo;Negativa ou 0 a 3x;Extremamente subvalorizada (se positivo) ou EBITDA negativo (se negativa), indicando prejuízo operacional. Investidores devem analisar causas do prejuízo e potencial de recuperação.;Ótimo
Giro do Ativo;Péssimo;Abaixo de 0,2;Eficiência extremamente baixa, ativos subutilizados, gerando pouca receita. Comum em empresas com ativos ociosos ou em crise (ex.: infraestrutura em recessão). Investidores devem evitar, salvo reestruturação clara.;Péssimo
;Ruim;0,2 a 0,4;Baixa eficiência, ativos pouco utilizados, comum em setores com ativos pesados (ex.: CSN). Investidores devem investigar potencial de melhoria operacional ou aumento de receita.;Ruim
;Moderado;0,4 a 0,8;Eficiência moderada, utilização razoável de ativos, aceitável em setores industriais ou com ativos fixos elevados. Investidores devem avaliar estratégias para aumentar o giro.;Moderado
;Bom;0,8 a 1,2;Boa eficiência, gera receita significativa em relação aos ativos. Comum em setores intensivos em vendas (ex.: Magazine Luiza). Investidores devem confirmar sustentabilidade do giro sem comprometer margens.;Bom
;Ótimo;Acima de 1,2;Alta eficiência, utilização excepcional de ativos, maximizando receita. Comum em setores com alta rotatividade (ex.: Lojas Renner). Investidores devem verificar se alta rotatividade mantém margens saudáveis.;Ótimo
Liquidez Corrente;Péssimo;Abaixo de 0,8;Risco crítico de insolvência, ativos circulantes não cobrem passivos de curto prazo, indicando dificuldades graves. Comum em empresas em crise financeira (ex.: OI). Investidores devem evitar, salvo recuperação clara.;Péssimo
;Ruim;0,8 a 1,2;Liquidez frágil, ativos circulantes próximos ou abaixo dos passivos, sugerindo risco moderado. Investidores devem analisar qualidade dos ativos circulantes (ex.: caixa vs. estoques) e fluxo de caixa.;Ruim
;Moderado;1,2 a 1,8;Liquidez razoável, cobre obrigações de curto prazo com folga moderada, aceitável na maioria dos setores. Investidores devem monitorar composição dos ativos circulantes para garantir liquidez real.;Moderado
;Bom;1,8 a 2,5;Boa liquidez, ativos circulantes suficientes para cobrir obrigações com folga, indicando saúde financeira. Comum em setores estáveis (ex.: Ambev). Sinal de segurança para investidores.;Bom
;Ótimo;Acima de 2,5;Excelente liquidez, mais que o dobro de ativos circulantes em relação aos passivos, indicando mínima chance de insolvência. Ideal para setores voláteis (ex.: varejo). Verificar se excesso de liquidez reflete ineficiência.;Ótimo
LPA (Lucro por Ação);Péssimo;Negativa;Prejuízo por ação, indicando problemas operacionais ou financeiros graves. Comum em empresas em crise ou com investimentos pesados (ex.: OI). Investidores devem analisar plano de recuperação.;Péssimo
;Ruim;0 a 0,1;Lucro muito baixo, rentabilidade limitada, comum em setores competitivos ou empresas em recuperação. Investidores devem investigar se baixa lucratividade é temporária ou estrutural.;Ruim
;Moderado;0,1 a 0,5;Lucro moderado, desempenho razoável, comum em empresas em crescimento ou setores com margens menores (ex.: varejo). Investidores devem analisar potencial de aumento do LPA no longo prazo.;Moderado
;Bom;0,5 a 1;Boa lucratividade, desempenho sólido, comum em setores maduros (ex.: bancos). Investidores devem comparar com P/L para avaliar se preço reflete lucro gerado.;Bom
;Ótimo;Acima de 1;Alta lucratividade, desempenho excepcional, atraente para investidores. Comum em empresas com alta rentabilidade (ex.: Petrobras). Investidores devem confirmar consistência dos lucros.;Ótimo
Margem Bruta;Péssimo;Negativa;Prejuízo bruto, custos diretos superam receita, indicando ineficiência operacional grave. Comum em empresas em crise ou setores competitivos (ex.: commodities em baixa). Investidores devem evitar, salvo recuperação clara.;Péssimo
;Ruim;0 a 15%;Baixa rentabilidade bruta, dificuldade em cobrir custos diretos, comum em setores com pressão de preços (ex.: Carrefour). Investidores devem investigar potencial de melhoria na precificação ou redução de custos.;Ruim
;Moderado;15 a 30%;Rentabilidade moderada, aceitável em setores com concorrência moderada (ex.: indústria). Investidores devem comparar com peers e avaliar pressão de custos para confirmar sustentabilidade.;Moderado
;Bom;30 a 50%;Boa rentabilidade bruta, forte poder de precificação ou baixos custos de produção. Comum em setores com margens moderadas (ex.: Lojas Renner). Investidores devem verificar sustentabilidade da margem.;Bom
;Ótimo;Acima de 50%;Alta rentabilidade bruta, eficiência excepcional, refletindo forte poder de precificação. Comum em setores como tecnologia ou saúde (ex.: Rede D’Or). Investidores devem confirmar consistência frente à concorrência.;Ótimo
Margem EBIT;Péssimo;Negativa;Prejuízo operacional, operação não rentável, indicando problemas graves. Comum in empresas em crise ou com investimentos pesados (ex.: OI). Investidores devem analisar causas e potencial de recuperação.;Péssimo
;Ruim;0 a 5%;Baixa rentabilidade operacional, dificuldade em gerar lucro após custos operacionais, comum em setores competitivos (ex.: varejo). Investidores devem investigar potencial de melhoria operacional.;Ruim
;Moderado;5 a 15%;Rentabilidade moderada, desempenho razoável, aceitável em setores com margens moderadas (ex.: CSN). Investidores devem analisar tendência do EBIT e exposição a custos fixos para avaliar sustentabilidade.;Moderado
;Bom;15 a 25%;Boa rentabilidade operacional, eficiência sólida, comum em setores com barreiras de entrada (ex.: utilities). Investidores devem confirmar consistência do EBIT frente a riscos setoriais.;Bom
;Ótimo;Acima de 25%;Alta rentabilidade operacional, desempenho excepcional, comum em setores de alta margem (ex.: tecnologia). Investidores devem verificar sustentabilidade frente a concorrência ou riscos macroeconômicos.;Ótimo
Margem EBITDA;Péssimo;Negativa;Prejuízo operacional, incapacidade de gerar caixa operacional, sinal crítico de problemas estruturais. Comum em empresas em crise (ex.: OI). Investidores devem evitar, salvo recuperação clara.;Péssimo
;Ruim;0 a 10%;Baixa geração de caixa, eficiência limitada, comum em setores intensivos em capital (ex.: infraestrutura). Investidores devem investigar potencial de melhoria operacional para aumentar o EBITDA.;Ruim
;Moderado;10 a 20%;Geração de caixa moderada, desempenho razoável, aceitável em setores com margens moderadas (ex.: varejo). Investidores devem analisar tendência do EBITDA e dependência de receitas cíclicas.;Moderado
;Bom;20 a 30%;Boa geração de caixa, eficiência sólida, indicando forte capacidade operacional. Comum em setores estáveis (ex.: Ambev). Investidores devem verificar qualidade do EBITDA (ex.: ajustes contábeis).;Bom
;Ótimo;Acima de 30%;Excelente geração de caixa, eficiência excepcional, comum em setores de alta margem (ex.: tecnologia). Investidores devem confirmar sustentabilidade frente a concorrência ou riscos macroeconômicos.;Ótimo
Margem Líquida;Péssimo;Negativa;Prejuízo líquido, indicando problemas financeiros graves após todas as despesas. Comum em empresas em crise ou com alta carga tributária/juros (ex.: OI). Investidores devem analisar plano de recuperação.;Péssimo
;Ruim;0 a 3%;Baixa lucratividade líquida, dificuldade em reter lucro após despesas, comum em setores competitivos (ex.: Carrefour). Investidores devem investigar potencial de redução de custos ou aumento de receita.;Ruim
;Moderado;3 a 10%;Lucratividade moderada, aceitável em setores com margens moderadas (ex.: indústria). Investidores devem analisar exposição a impostos, juros e custos operacionais para avaliar sustentabilidade.;Moderado
;Bom;10 a 20%;Boa lucratividade líquida, eficiência sólida em toda a cadeia. Comum em setores com margens moderadas (ex.: Weg). Investidores devem confirmar consistência do lucro.;Bom
;Ótimo;Acima de 20%;Alta lucratividade líquida, desempenho excepcional, comum em setores de alta margem (ex.: Rede D’Or). Investidores devem verificar sustentabilidade frente a riscos setoriais ou macroeconômicos.;Ótimo
P/Ativo;Péssimo;Acima de 2;Empresa extremamente cara, preço excede o dobro do valor dos ativos, sugerindo expectativas irreais de crescimento. Comum em setores intangíveis (ex.: tecnologia em bolha). Investidores devem comparar com peers e avaliar crescimento projetado.;Péssimo
;Ruim;1,5 a 2;Empresa cara, preço 1,5-2 vezes o valor dos ativos, indicando valuation alta. Investidores devem analisar qualidade dos ativos (ex.: intangíveis vs. tangíveis) e potencial de geração de receita.;Ruim
;Moderado;0,5 a 1,5;Avaliação equilibrada, preço alinhado com valor dos ativos, aceitável na maioria dos setores. Investidores devem verificar composição dos ativos e potencial de geração de receita.;Moderado
;Bom;0,2 a 0,5;Subvalorizada, preço significativamente inferior ao valor dos ativos, indicando oportunidade. Comum em setores cíclicos ou em recuperação (ex.: Vale). Investidores devem investigar riscos operacionais.;Bom
;Ótimo;0 a 0,2 ou Negativa;Extremamente subvalorizada (se positivo) ou ativos negativos (se negativa). Ativos negativos indicam passivos superiores, um sinal crítico. Investidores devem evitar empresas com ativos negativos, salvo recuperação.;Ótimo
P/Ativo Circulante Líquido;Péssimo;Acima de 3;Avaliação extremamente elevada, preço excede o triplo do ativo circulante líquido, sugerindo expectativas irreais. Investidores devem comparar com fluxo de caixa e avaliar se preço é justificado.;Péssimo
;Ruim;2 a 3;Avaliação elevada, preço 2-3 vezes o ativo circulante líquido, indicando valuation alta. Investidores devem analisar qualidade dos ativos circulantes (ex.: caixa vs. estoques) e fluxo de caixa.;Ruim
;Moderado;1 a 2;Avaliação razoável, preço alinhado com ativo circulante líquido, aceitável em setores com alta liquidez (ex.: varejo). Investidores devem verificar composição dos ativos circulantes.;Moderado
;Bom;0,5 a 1;Subvalorizada, preço inferior ao ativo circulante líquido, indicando oportunidade. Comum em empresas com forte liquidez (ex.: Magazine Luiza). Investidores devem verificar riscos operacionais ou setoriais.;Bom
;Ótimo;0 a 0,5 ou Negativa;Extremamente subvalorizada (se positivo) ou ACL negativo (se negativa). ACL negativo indica passivos circulantes superiores, um sinal crítico. Investidores devem evitar empresas com ACL negativo, salvo recuperação.;Ótimo
P/Capital de Giro;Péssimo;Acima de 4;Avaliação extremamente elevada, preço mais de 4 vezes o capital de giro, sugerindo sobrevalorização. Investidores devem analisar sustentabilidade do capital de giro e dependência de financiamento externo.;Péssimo
;Ruim;3 a 4;Avaliação elevada, preço 3-4 vezes o capital de giro, indicando valuation alta. Investidores devem verificar qualidade do capital de giro (ex.: caixa vs. estoques) e necessidade setorial.;Ruim
;Moderado;1 a 3;Avaliação equilibrada, preço alinhado com capital de giro, aceitável em setores com necessidade moderada de capital (ex.: varejo). Investidores devem monitorar gestão do capital de giro.;Moderado
;Bom;0,5 a 1;Subvalorizada, preço inferior ao capital de giro, indicando oportunidade. Comum em empresas com forte liquidez (ex.: Lojas Renner). Investidores devem verificar riscos operacionais ou setoriais.;Bom
;Ótimo;0 a 0,5 ou Negativa;Extremamente subvalorizada (se positivo) ou capital de giro negativo (se negativa). Capital de giro negativo indica problemas de liquidez. Investidores devem evitar empresas com capital de giro negativo, salvo recuperação.;Ótimo
P/EBIT;Péssimo;Acima de 20x;Empresa extremamente cara, preço mais de 20 vezes o EBIT, sugerindo expectativas irreais de crescimento. Comum em setores de tecnologia em bolha. Investidores devem comparar com peers e avaliar crescimento projetado.;Péssimo
;Ruim;15 a 20x;Empresa cara, múltiplo elevado, comum em setores de crescimento moderado (ex.: saúde). Investidores devem analisar consistência do EBIT e potencial de crescimento para evitar sobrepreço.;Ruim
;Moderado;8 a 15x;Avaliação razoável, aceitável em setores com crescimento moderado (ex.: indústria). Investidores devem verificar tendência do EBIT e perspectivas de expansão para confirmar atratividade.;Moderado
;Bom;4 a 8x;Subvalorizada, preço abaixo de 8x o EBIT indica empresa barata em relação ao lucro operacional. Oportunidade em setores cíclicos ou em recuperação (ex.: Vale). Investidores devem investigar riscos operacionais.;Bom
;Ótimo;Negativa ou 0 a 4x;Extremamente subvalorizada (se positivo) ou EBIT negativo (se negativa), tornando múltiplo inválido. EBIT negativo indica prejuízo operacional. Investidores devem analisar potencial de recuperação.;Ótimo
P/EBITDA;Péssimo;Acima de 15x;Empresa extremamente cara, preço mais de 15 vezes o EBITDA, sugerindo expectativas irreais. Comum em tecnologia em alta. Investidores devem comparar com peers e avaliar crescimento projetado.;Péssimo
;Ruim;10 a 15x;Empresa cara, múltiplo elevado, comum em setores de crescimento moderado (ex.: saúde). Investidores devem analisar estabilidade do EBITDA e potencial de crescimento para evitar sobrepreço.;Ruim
;Moderado;6 a 10x;Avaliação equilibrada, aceitável em setores com crescimento moderado (ex.: varejo, indústria). Investidores devem verificar tendência do EBITDA e potencial de expansão.;Moderado
;Bom;3 a 6x;Subvalorizada, preço abaixo de 6x o EBITDA indica empresa barata em relação à geração de caixa. Oportunidade em setores cíclicos ou em recuperação (ex.: Vale). Investidores devem verificar riscos operacionais.;Bom
;Ótimo;Negativa ou 0 to 3x;Extremamente subvalorizada (se positivo) ou EBITDA negativo (se negativa), indicando prejuízo operacional. Investidores devem analisar causas do prejuízo e potencial de recuperação.;Ótimo
Preço sobre Lucro (P/L);Péssimo;Acima de 25x;Empresa extremamente cara, preço mais de 25 vezes o lucro líquido, sugerindo expectativas irreais. Comum em tecnologia em bolha (ex.: Nubank). Investidores devem comparar com peers e avaliar crescimento projetado.;Péssimo
;Ruim;20 a 25x;Empresa cara, valuation alta, comum em setores de crescimento moderado (ex.: saúde). Investidores devem analisar consistência dos lucros e potencial de crescimento para evitar sobrepreço.;Ruim
;Moderado;10 a 20x;Avaliação razoável, aceitável em setores com crescimento moderado (ex.: indústria, varejo). Investidores devem verificar tendência dos lucros e perspectivas de crescimento para confirmar atratividade.;Moderado
;Bom;5 a 10x;Subvalorizada, preço abaixo de 10x o lucro indica empresa barata. Oportunidade em setores cíclicos ou em recuperação (ex.: Vale). Investidores devem investigar riscos operacionais ou setoriais.;Bom
;Ótimo;Negativa ou 0 a 5x;Extremamente subvalorizada (se positivo) ou lucro negativo (se negativa), tornando P/L inválido. Lucro negativo indica prejuízo. Investidores devem analisar potencial de recuperação.;Ótimo
Preço sobre Valor Patrimonial (P/VPA);Péssimo;Acima de 3;Empresa extremamente cara, preço excede o triplo do valor patrimonial, sugerindo expectativas irreais. Comum em setores intangíveis (ex.: tecnologia em bolha). Investidores devem comparar com ROE e avaliar crescimento projetado.;Péssimo
;Ruim;2 a 3;Empresa cara, preço 2-3 vezes o valor patrimonial, indicando valuation alta. Investidores devem analisar qualidade do patrimônio e retorno sobre o mesmo para justificar preço.;Ruim
;Moderado;1 a 2;Avaliação equilibrada, preço alinhado com valor patrimonial, aceitável em setores maduros (ex.: bancos, indústria). Investidores devem verificar consistência do ROE e qualidade do patrimônio.;Moderado
;Bom;0,5 a 1;Subvalorizada, preço inferior ao valor patrimonial, indicando oportunidade. Comum em setores cíclicos ou em recuperação (ex.: Itaú). Investidores devem investigar riscos patrimoniais ou operacionais.;Bom
;Ótimo;Negativa ou 0 a 0,5;Extremamente subvalorizada (se positivo) ou VPA negativo (se negativa). VPA negativo indica passivos superiores aos ativos, um sinal crítico. Investidores devem evitar empresas com VPA negativo, salvo recuperação.;Ótimo
Patrimônio/Ativos;Péssimo;Negativa;Situação líquida negativa, passivos superam ativos, indicando risco crítico de insolvência. Comum em empresas em crise ou falência iminente (ex.: OI). Investidores devem exigir plano robusto de recuperação.;Péssimo
;Ruim;0 a 0,2;Estrutura frágil, patrimônio representa menos de 20% dos ativos, indicando alta alavancagem. Comum em empresas com dívidas elevadas (ex.: construção). Investidores devem analisar capacidade de pagamento de juros.;Ruim
;Moderado;0,2 a 0,5;Estrutura razoável, patrimônio financia 20-50% dos ativos, aceitável em setores com alavancagem moderada (ex.: indústria). Investidores devem monitorar gestão da dívida e geração de caixa.;Moderado
;Bom;0,5 a 0,8;Estrutura sólida, patrimônio representa 50-80% dos ativos, indicando baixa dependência de dívidas. Comum em setores estáveis (ex.: utilities). Sinal de segurança, mas avaliar subinvestimento.;Bom
;Ótimo;Acima de 0,8;Estrutura excepcional, patrimônio financia mais de 80% dos ativos, indicando altíssima capitalização. Ideal para setores voláteis (ex.: commodities). Verificar se excesso de capital próprio limita crescimento.;Ótimo
PSR (Preço/Sales Ratio);Péssimo;Acima de 4;Empresa extremamente cara, preço mais de 4 vezes a receita, sugerindo expectativas irreais. Comum em tecnologia em bolha (ex.: Nubank). Investidores devem comparar com peers e avaliar crescimento projetado.;Péssimo
;Ruim;3 a 4;Empresa cara, valuation alta, comum em setores de crescimento moderado (ex.: saúde). Investidores devem analisar margem líquida e potencial de crescimento da receita para evitar sobrepreço.;Ruim
;Moderado;1 a 3;Avaliação equilibrada, aceitável em setores com margens moderadas (ex.: varejo, indústria). Investidores devem verificar tendência da receita e margem líquida para confirmar atratividade.;Moderado
;Bom;0,5 a 1;Subvalorizada, preço abaixo da receita, indicando oportunidade. Comum em setores cíclicos ou em recuperação (ex.: Carrefour). Investidores devem investigar riscos operacionais ou setoriais.;Bom
;Ótimo;0 to 0,5 ou Negativa;Extremamente subvalorizada (se positivo) ou receita negativa (se negativa). Receita negativa é rara e indica problemas operacionais graves. Investidores devem evitar empresas com receita negativa, salvo recuperação.;Ótimo
ROA (Retorno sobre Ativos);Péssimo;Negativa;Prejuízo, ativos gerando retorno negativo, indicando ineficiência grave. Comum em empresas em crise ou com investimentos mal sucedidos (ex.: OI). Investidores devem analisar causas e potencial de recuperação.;Péssimo
;Ruim;0 a 3%;Baixa eficiência, retorno limitado dos ativos, comum em setores intensivos em capital (ex.: infraestrutura). Investidores devem investigar potencial de melhoria operacional ou aumento de receita.;Ruim
;Moderado;3 a 8%;Eficiência moderada, desempenho razoável, aceitável em setores com margens moderadas (ex.: CSN). Investidores devem analisar tendência do ROA e composição dos ativos para avaliar consistência.;Moderado
;Bom;8 a 15%;Boa eficiência, retorno sólido dos ativos, comum em setores com alta rotatividade (ex.: varejo). Investidores devem confirmar sustentabilidade do ROA e qualidade dos ativos.;Bom
;Ótimo;Acima de 15%;Alta eficiência, retorno excepcional, refletindo excelente utilização dos ativos. Comum em setores de alta margem (ex.: Rede D’Or). Investidores devem verificar consistência frente a riscos setoriais.;Ótimo
ROE (Retorno sobre Patrimônio);Péssimo;Negativa;Prejuízo, retorno negativo sobre o patrimônio, indicando ineficiência grave. Comum em empresas em crise (ex.: OI). Investidores devem analisar causas e potencial de recuperação antes de investir.;Péssimo
;Ruim;0 a 5%;Baixa rentabilidade, retorno limitado, comum em setores competitivos ou com alta alavancagem (ex.: construção). Investidores devem investigar potencial de melhoria ou reestruturação.;Ruim
;Moderado;5 a 15%;Rentabilidade moderada, desempenho razoável, aceitável em setores maduros (ex.: indústria, varejo). Investidores devem analisar alavancagem e consistência dos lucros.;Moderado
;Bom;15 a 25%;Boa rentabilidade, desempenho sólido, comum em setores com margens moderadas (ex.: Weg). Investidores devem confirmar sustentabilidade do ROE e qualidade do patrimônio.;Bom
;Ótimo;Acima de 25%;Alta rentabilidade, desempenho excepcional, comum em setores de alta margem (ex.: Itaú). Investidores devem verificar sustentabilidade frente a riscos setoriais ou alavancagem elevada.;Ótimo
CAGR Lucros 5 anos;Péssimo;Abaixo de -10%;Declínio grave, queda acentuada nos lucros, sugerindo problemas estruturais. Comum em empresas em crise ou setores em declínio (ex.: OI). Investidores devem evitar, salvo recuperação clara.;Péssimo
;Ruim;-10 a 0%;Declínio leve ou estagnação, indicando desafios operacionais ou setoriais. Comum em setores maduros ou em crise (ex.: varejo físico). Investidores devem investigar causas e potencial de recuperação.;Ruim
;Moderado;0 a 5%;Crescimento moderado ou estagnado, aceitável em setores maduros (ex.: Ambev). Investidores devem analisar causas da estagnação e potencial de retomada do crescimento.;Moderado
;Bom;5 a 15%;Crescimento sólido, desempenho atrativo, comum em setores com expansão moderada (ex.: indústria). Investidores devem verificar sustentabilidade do crescimento e riscos macroeconômicos.;Bom
;Ótimo;Acima de 15%;Crescimento excepcional, empresa em forte expansão, comum em setores de tecnologia ou saúde (ex.: Weg). Investidores devem confirmar sustentabilidade frente a concorrência ou riscos setoriais.;Ótimo
ROIC (Retorno sobre Capital Investido);Péssimo;Negativa;Retorno negativo, capital investido não rentável, indicando ineficiência grave. Comum em empresas em crise ou com investimentos mal sucedidos (ex.: OI). Investidores devem analisar causas e potencial de recuperação.;Péssimo
;Ruim;0 a 5%;Baixo retorno, eficiência limitada, comum em setores intensivos em capital (ex.: infraestrutura). Investidores devem investigar potencial de melhoria na alocação de capital.;Ruim
;Moderado;5 a 12%;Retorno moderado, desempenho razoável, aceitável em setores com margens moderadas (ex.: varejo). Investidores devem analisar tendência do ROIC e eficiência dos investimentos.;Moderado
;Bom;12 to 20%;Boa eficiência, retorno sólido, indicando utilização eficiente do capital. Comum em setores com investimentos moderados (ex.: Localiza). Investidores devem confirmar sustentabilidade do ROIC.;Bom
;Ótimo;Acima de 20%;Alta eficiência, retorno excepcional, refletindo excelente alocação de capital. Comum em setores de alta margem (ex.: Weg). Investidores devem verificar consistência frente a riscos setoriais.;Ótimo
VPA (Valor Patrimonial por Ação);Péssimo;Negativa;Patrimônio negativo, passivos superam ativos, indicando risco crítico financeiro. Comum em empresas em crise ou falência iminente (ex.: OI). Investidores devem evitar, salvo reestruturação robusta.;Péssimo
;Ruim;0 a 0,1;Patrimônio muito baixo, estrutura frágil, sugerindo alta alavancagem ou dificuldades financeiras. Investidores devem investigar risco de deterioração patrimonial.;Ruim
;Moderado;0,1 a 0,5;Patrimônio moderado, situação razoável, comum em empresas em crescimento ou com alavancagem moderada. Investidores devem analisar tendência do VPA e gestão do patrimônio.;Moderado
;Bom;0,5 a 1;Patrimônio sólido, boa capitalização, comum em setores maduros (ex.: bancos). Investidores devem comparar com P/VPA para avaliar atratividade.;Bom
;Ótimo;Acima de 1;Patrimônio excepcional, altíssima capitalização, comum em setores estáveis (ex.: utilities). Investidores devem verificar se alto VPA não reflete subinvestimento.;Ótimo
