Indicador;Classificação;Faixa de Referência;Interpretação;Classificação
Dívida Líquida/Patrimônio Líquido;Péssimo;Acima de 1;"Definição: Compara a dívida líquida com o patrimônio líquido (ativos totais menos passivos). Fórmula: (Dívida Total - Caixa) ÷ Patrimônio Líquido. Relevância: Avalia a alavancagem em relação à base acionária, indicando a dependência de financiamento externo. Interpretação: Acima de 1 sugere dependência crítica de dívida, comum em empresas em crise (ex.: OIBR3) ou setores alavancados (ex.: construção, MRVE3). Em 2025, com juros altos, o risco de refinanciamento caro aumenta, podendo levar a default ou diluição de acionistas. Riscos: Patrimônio líquido reduzido por prejuízos ou dívidas de curto prazo. Oportunidades: Reestruturação (ex.: PETR4 desinvestimentos). Cuidados: Verifique cobertura de juros (EBITDA/juros > 2x) e tendência do patrimônio. Exemplo: OIBR3, com dívida/Patrimônio de 1,2x, enfrentou recuperação judicial. Cenário de 2025: Juros altos exigem cautela; compare com médias setoriais (ex.: construção ~0,8x).";Péssimo
;Ruim;0,7 a 1;Interpretação: Alavancagem elevada, representando 70-100% do patrimônio líquido. Detalhes: Comum em bancos (ex.: ITUB4) ou infraestrutura (ex.: CCRO3). Em 2025, aumenta o risco de refinanciamento. Oportunidades: Desalavancagem ou ciclo favorável. Riscos: Queda de receita ou aumento de custos. Cuidados: Analise ROE (> 15%) e cobertura de juros. Exemplo: CMIG4, com dívida/Patrimônio de 0,8x, enfrenta pressão em ciclos baixos. Cenário de 2025: Compare com peers (ex.: bancos ~0,8x).;Ruim
;Moderado;0,3 a 0,7;"Interpretação: Alavancagem moderada, aceitável em setores estáveis (ex.: utilities, EGIE3). Detalhes: Em 2025, exige fluxo de caixa estável. Oportunidades: Expansão ou redução de custos. Riscos: Queda de demanda ou aumento de taxas. Cuidados: Verifique ROE (> 15%) e governança. Exemplo: CSNA3, com dívida/Patrimônio de 0,5x, mantém equilíbrio. Cenário de 2025: Favorece setores defensivos; compare com médias (ex.: utilities ~0,5x).";Moderado
;Bom;0 a 0,3;Interpretação: Baixa alavancagem, indicando empresa bem capitalizada. Detalhes: Comum em consumo defensivo (ex.: ABEV3). Em 2025, reflete resiliência. Oportunidades: Dividendos ou expansão. Riscos: Subinvestimento. Cuidados: Analise alocação de capital e ROE (> 20%). Exemplo: WEGE3, com dívida/Patrimônio de 0,2x. Cenário de 2025: Atrativo em setores estáveis.;Bom
;Ótimo;Negativa;Interpretação: Caixa líquido excede a dívida, indicando saúde excepcional. Detalhes: Comum em tecnologia (ex.: NUBR33). Em 2025, permite flexibilidade estratégica. Oportunidades: Aquisições ou buybacks. Riscos: Caixa ocioso. Cuidados: Verifique alocação de caixa e governança. Exemplo: Apple, com caixa líquido elevado. Cenário de 2025: Empresas com caixa robusto são preferidas.;Ótimo
Dividend Yield (DY);Péssimo;0%;Definição: Percentual do dividendo pago por ação em relação ao preço da ação. Fórmula: (Dividendos por Ação ÷ Preço da Ação) × 100. Relevância: Crucial para investidores de renda, mede o retorno via dividendos. Interpretação: 0% indica ausência de dividendos, comum em startups (ex.: TOTS3) ou empresas com prejuízo (ex.: OIBR3). Em 2025, com Selic de 10-12%, é pouco atrativo para investidores de renda, mas aceitável para quem busca crescimento. Riscos: Fluxo de caixa livre negativo ou alta alavancagem. Oportunidades: Reinvestimento em crescimento (ex.: novas soluções para TOTS3). Cuidados: Verifique CAGR de lucros (> 15%) e fluxo de caixa operacional. Exemplo: MGLU3, com DY de 0% em 2022, focava em expansão. Cenário de 2025: Empresas com DY nulo precisam de forte crescimento para justificar investimento.;Péssimo
;Ruim;0,1 a 2%;Interpretação: Retorno baixo, pouco atrativo para renda. Detalhes: Comum em empresas de crescimento (ex.: NUBR33). Em 2025, não compensa a renda fixa. Oportunidades: Valorização via expansão. Riscos: Concorrência agressiva ou alavancagem elevada. Cuidados: Analise payout ratio (< 50%) e fluxo de caixa livre. **Exemplo**: MGLU3, com DY de 1%, enfrenta pressão competitiva. **Cenário de 2025**: Compare com peers (ex.: varejo ~1%) e analise ROIC (> 10%).;Ruim
;Moderado;2 a 4%;"Interpretação: Retorno moderado, equilibrando dividendos e reinvestimento. Detalhes: Comum em empresas maduras (ex.: ABEV3). Em 2025, competitivo, mas exige payout sustentável (50-70%). Oportunidades: Margens estáveis. Riscos: Cortes de dividendos. Cuidados: Verifique fluxo de caixa livre e histórico de dividendos. Exemplo: EGIE3, com DY de 3%, mantém estabilidade. Cenário de 2025: Favorece setores defensivos; compare com médias (ex.: utilities ~3-5%).";Moderado
;Bom;4 a 6%;Interpretação: Retorno atrativo para renda. Detalhes: Comum em utilities (ex.: TAEE11). Em 2025, supera a renda fixa. Oportunidades: Fluxo de caixa previsível. Riscos: Payout excessivo (> 80%). Cuidados: Analise fluxo de caixa livre e governança. Exemplo: ITUB4, com DY de 5%, é resiliente. Cenário de 2025: Empresas com DY alto e margens sólidas são preferidas.;Bom
;Ótimo;Acima de 6%;Interpretação: Alto retorno, muito atrativo. Detalhes: Comum em utilities (ex.: TAEE11). Em 2025, exige payout sustentável (< 70%). **Oportunidades**: Liderança de mercado. **Riscos**: Insustentabilidade de dividendos. **Cuidados**: Verifique fluxo de caixa livre e ROE (> 25%). Exemplo: VALE3, com DY de 7% em ciclos de alta. Cenário de 2025: Compare com peers (ex.: utilities ~5-8%) e analise tendências setoriais.;Ótimo
EV/EBIT;Péssimo;Acima de 15x;"Definição: Compara o valor da empresa (EV = valor de mercado + dívida líquida) com o EBIT. Fórmula: EV ÷ EBIT. Relevância: Avalia o preço da empresa em relação ao lucro operacional, útil para comparar estruturas de capital. Interpretação: Acima de 15x indica sobrevalorização, comum em tecnologia (ex.: NUBR33). Em 2025, com juros altos, aumenta o risco de correção. Riscos: EBIT volátil ou concorrência agressiva. Oportunidades: Barreiras de entrada (ex.: patentes). Cuidados: Verifique ROIC (> 12%) e CAGR de lucros (> 15%). Exemplo: Tesla, com EV/EBIT de 20x em picos. Cenário de 2025: Múltiplos altos são arriscados; compare com peers (ex.: tecnologia ~10-12x).";Péssimo
;Ruim;12 a 15x;Interpretação: Empresa cara, comum em setores de crescimento moderado (ex.: saúde, RDOR3). Detalhes: Em 2025, compressão de múltiplos aumenta o risco. Oportunidades: Inovação ou liderança de mercado. Riscos: Queda de margens ou concorrência. Cuidados: Analise fluxo de caixa livre e governança. Exemplo: HYPE3, com EV/EBIT de 13x. Cenário de 2025: Compare com médias (ex.: saúde ~10-12x).;Ruim
;Moderado;8 a 12x;Interpretação: Avaliação razoável, comum em setores maduros (ex.: ABEV3). Detalhes: Em 2025, exige EBIT estável. Oportunidades: Expansão ou eficiência operacional. Riscos: Queda de demanda ou aumento de custos. Cuidados: Verifique fluxo de caixa livre e ROIC (> 12%). Exemplo: CSNA3, com EV/EBIT de 10x. Cenário de 2025: Compare com peers (ex.: indústria ~8-10x).;Moderado
;Bom;4 a 8x;Interpretação: Subvalorizada, oportunidade em setores cíclicos (ex.: VALE3). Detalhes: Em 2025, sugere potencial de valorização. Oportunidades: Melhoria operacional. Riscos: Volatilidade setorial. Cuidados: Analise fluxo de caixa livre e governança. Exemplo: PETR4, com EV/EBIT de 6x em recuperação. Cenário de 2025: Favorece setores cíclicos com recuperação.;Bom
;Ótimo;Negativa ou 0 a 4x;"Interpretação: Extremamente subvalorizada ou EBIT negativo. Detalhes: Negativa indica prejuízo (ex.: OIBR3); 0-4x sugere oportunidade (ex.: VALE3 em baixa). Oportunidades: Turnaround robusto. Riscos: Insolvência. Cuidados: Verifique fluxo de caixa livre e ROIC (> 15%). Exemplo: VALE3, com EV/EBIT de 3x em 2016. Cenário de 2025: Compare com peers (ex.: mineração ~6x).";Ótimo
EV/EBITDA;Péssimo;Acima de 12x;Definição: Compara o valor da empresa com o EBITDA. Fórmula: EV ÷ EBITDA. Relevância: Foca na geração de caixa operacional, menos afetado por depreciação. Interpretação: Acima de 12x indica sobrevalorização, comum em tecnologia (ex.: NUBR33). Em 2025, aumenta o risco de correção. Riscos: EBITDA volátil ou concorrência. Oportunidades: Liderança de mercado. Cuidados: Verifique fluxo de caixa livre e ROIC (> 12%). Exemplo: Tesla, com EV/EBITDA de 15x em picos. Cenário de 2025: Compare com peers (ex.: tecnologia ~8-10x).;Péssimo
;Ruim;10 a 12x;Interpretação: Empresa cara, comum em saúde (ex.: RDOR3). Detalhes: Em 2025, compressão de múltiplos aumenta o risco. Oportunidades: Inovação. Riscos: Concorrência ou custos regulatórios. Cuidados: Analise fluxo de caixa livre e governança. Exemplo: LREN3, com EV/EBITDA de 11x. Cenário de 2025: Compare com médias (ex.: varejo ~8-10x).;Ruim
;Moderado;6 a 10x;Interpretação: Avaliação equilibrada, comum em varejo (ex.: LREN3). Detalhes: Em 2025, exige EBITDA estável. Oportunidades: Expansão ou redução de custos. Riscos: Queda de demanda. Cuidados: Verifique fluxo de caixa livre e ROIC (> 12%). Exemplo: ABEV3, com EV/EBITDA de 8x. Cenário de 2025: Compare com peers (ex.: varejo ~6-8x).;Moderado
;Bom;3 a 6x;Interpretação: Subvalorizada, oportunidade em setores cíclicos (ex.: VALE3). Detalhes: Em 2025, sugere potencial de valorização. Oportunidades: Melhoria operacional. Riscos: Volatilidade setorial. Cuidados: Analise fluxo de caixa livre e governança. Exemplo: PETR4, com EV/EBITDA de 5x. Cenário de 2025: Favorece setores cíclicos.;Bom
;Ótimo;Negativa ou 0 a 3x;"Interpretação: Extremamente subvalorizada ou EBITDA negativo. Detalhes: Negativa indica prejuízo (ex.: OIBR3); 0-3x sugere oportunidade (ex.: VALE3). Oportunidades: Turnaround robusto. Riscos: Insolvência. Cuidados: Verifique fluxo de caixa livre e ROIC (> 15%). Exemplo: VALE3, com EV/EBITDA de 2x em 2016. Cenário de 2025: Compare com peers (ex.: mineração ~4x).";Ótimo
Giro do Ativo;Péssimo;Abaixo de 0,2;Definição: Mede a eficiência na utilização dos ativos para gerar receita. Fórmula: Receita Líquida ÷ Ativo Total. Relevância: Avalia a produtividade dos ativos, essencial para setores intensivos em capital. Interpretação: Abaixo de 0,2 indica ativos subutilizados, comum em empresas em crise (ex.: OIBR3) ou setores em baixa (ex.: siderurgia, CSNA3). Em 2025, com custos elevados, aumenta a pressão financeira. Riscos: Ativos ociosos ou queda de demanda. Oportunidades: Reativação de ativos ou entrada em novos mercados. Cuidados: Verifique composição dos ativos e fluxo de caixa operacional. Exemplo: MRVE3, com giro de 0,15x, enfrentou dificuldades. Cenário de 2025: Compare com médias (ex.: infraestrutura ~0,3x).;Péssimo
;Ruim;0,2 a 0,4;Interpretação: Baixa eficiência, comum em setores cíclicos (ex.: GGBR4). Detalhes: Em 2025, exige melhoria operacional. Oportunidades: Redução de custos ou aumento de vendas. Riscos: Queda de demanda ou custos elevados. Cuidados: Analise fluxo de caixa livre e ROA (> 3%). Exemplo: VALE3, com giro de 0,3x em baixa. Cenário de 2025: Compare com peers (ex.: siderurgia ~0,4x).;Ruim
;Moderado;0,4 a 0,8;Interpretação: Eficiência moderada, aceitável em indústria (ex.: CSNA3). Detalhes: Em 2025, exige receita estável. Oportunidades: Automação ou expansão. Riscos: Concorrência ou aumento de custos. Cuidados: Verifique ROA (> 5%) e governança. Exemplo: EGIE3, com giro de 0,6x. Cenário de 2025: Compare com médias (ex.: indústria ~0,6x).;Moderado
;Bom;;;
